,(Relative) activity,(Relative) activity_std,Activity coefficient,Activity coefficient_std,Mass fraction,"Molality, mol/kg","Molality, mol/kg Variable metadata","Molality, mol/kg metadata",Mole fraction,Mole fraction Variable metadata,Mole fraction metadata,"Pressure, kPa","Temperature, K",components,filename,phase,n_components,component_0,component_1,formula_0,formula_1,n_atoms_0,n_heavy_atoms_0,n_desired_atoms_0,n_other_atoms_0,n_atoms_1,n_heavy_atoms_1,n_desired_atoms_1,n_other_atoms_1,SMILES_0,SMILES_1,cas_0,InChI_0,cas_1,InChI_1
7262,,,0.73,0.0365,0.0,,,,,,,101.0,313.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7263,,,0.75,0.0375,0.0,,,,,,,101.0,333.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7264,,,0.78,0.039,0.0,,,,,,,101.0,353.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7265,,,0.79,0.0395,0.0,,,,,,,101.0,373.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7266,,,0.8,0.04,0.0,,,,,,,101.0,393.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7267,,,4.76,0.238,0.0,,,,,,,101.0,313.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
7268,,,3.98,0.199,0.0,,,,,,,101.0,333.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
7269,,,3.73,0.1865,0.0,,,,,,,101.0,353.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
7270,,,3.52,0.176,0.0,,,,,,,101.0,373.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
7271,,,3.25,0.1625,0.0,,,,,,,101.0,393.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
162678,,,8976.0,448.8,,,,,0.0,toluene___,,101.0,288.15,toluene__water,j.fluid.2006.02.022,Liquid,2,toluene,water,C7H8,H2O,15,7,15,0,3,1,3,0,Cc1ccccc1,O,3101-08-4,InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162679,,,8954.0,447.7,,,,,0.0,toluene___,,101.0,298.15,toluene__water,j.fluid.2006.02.022,Liquid,2,toluene,water,C7H8,H2O,15,7,15,0,3,1,3,0,Cc1ccccc1,O,3101-08-4,InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162680,,,8775.0,438.75,,,,,0.0,toluene___,,101.0,308.15,toluene__water,j.fluid.2006.02.022,Liquid,2,toluene,water,C7H8,H2O,15,7,15,0,3,1,3,0,Cc1ccccc1,O,3101-08-4,InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162681,,,8290.0,414.5,,,,,0.0,toluene___,,101.0,318.15,toluene__water,j.fluid.2006.02.022,Liquid,2,toluene,water,C7H8,H2O,15,7,15,0,3,1,3,0,Cc1ccccc1,O,3101-08-4,InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162682,,,325.0,9.0,,,,,0.0,tert-butyl ethyl ether___,,101.0,288.15,tert-butyl ethyl ether__water,j.fluid.2006.02.022,Liquid,2,tert-butyl ethyl ether,water,C6H14O,H2O,21,7,21,0,3,1,3,0,CCOC(C)(C)C,O,637-92-3,InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162683,,,514.0,15.0,,,,,0.0,tert-butyl ethyl ether___,,101.0,298.15,tert-butyl ethyl ether__water,j.fluid.2006.02.022,Liquid,2,tert-butyl ethyl ether,water,C6H14O,H2O,21,7,21,0,3,1,3,0,CCOC(C)(C)C,O,637-92-3,InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162684,,,659.0,20.0,,,,,0.0,tert-butyl ethyl ether___,,101.0,308.15,tert-butyl ethyl ether__water,j.fluid.2006.02.022,Liquid,2,tert-butyl ethyl ether,water,C6H14O,H2O,21,7,21,0,3,1,3,0,CCOC(C)(C)C,O,637-92-3,InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162685,,,873.0,38.0,,,,,0.0,tert-butyl ethyl ether___,,101.0,318.15,tert-butyl ethyl ether__water,j.fluid.2006.02.022,Liquid,2,tert-butyl ethyl ether,water,C6H14O,H2O,21,7,21,0,3,1,3,0,CCOC(C)(C)C,O,637-92-3,InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162686,,,127.0,6.0,,,,,0.0,methyl tert-butyl ether___,,101.0,288.15,methyl tert-butyl ether__water,j.fluid.2006.02.022,Liquid,2,methyl tert-butyl ether,water,C5H12O,H2O,18,6,18,0,3,1,3,0,COC(C)(C)C,O,1634-04-4,InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162687,,,139.0,5.0,,,,,0.0,methyl tert-butyl ether___,,101.0,298.15,methyl tert-butyl ether__water,j.fluid.2006.02.022,Liquid,2,methyl tert-butyl ether,water,C5H12O,H2O,18,6,18,0,3,1,3,0,COC(C)(C)C,O,1634-04-4,InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162688,,,180.0,6.0,,,,,0.0,methyl tert-butyl ether___,,101.0,308.15,methyl tert-butyl ether__water,j.fluid.2006.02.022,Liquid,2,methyl tert-butyl ether,water,C5H12O,H2O,18,6,18,0,3,1,3,0,COC(C)(C)C,O,1634-04-4,InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162689,,,234.0,8.0,,,,,0.0,methyl tert-butyl ether___,,101.0,318.15,methyl tert-butyl ether__water,j.fluid.2006.02.022,Liquid,2,methyl tert-butyl ether,water,C5H12O,H2O,18,6,18,0,3,1,3,0,COC(C)(C)C,O,1634-04-4,InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162690,,,1351.0,44.0,,,,,0.0,"butane, 2-ethoxy-2-methyl-___",,101.0,288.15,"butane, 2-ethoxy-2-methyl-__water",j.fluid.2006.02.022,Liquid,2,"butane, 2-ethoxy-2-methyl-",water,C7H16O,H2O,24,8,24,0,3,1,3,0,CCOC(C)(C)CC,O,919-94-8,InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162691,,,1993.0,61.0,,,,,0.0,"butane, 2-ethoxy-2-methyl-___",,101.0,298.15,"butane, 2-ethoxy-2-methyl-__water",j.fluid.2006.02.022,Liquid,2,"butane, 2-ethoxy-2-methyl-",water,C7H16O,H2O,24,8,24,0,3,1,3,0,CCOC(C)(C)CC,O,919-94-8,InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162692,,,2529.0,84.0,,,,,0.0,"butane, 2-ethoxy-2-methyl-___",,101.0,308.15,"butane, 2-ethoxy-2-methyl-__water",j.fluid.2006.02.022,Liquid,2,"butane, 2-ethoxy-2-methyl-",water,C7H16O,H2O,24,8,24,0,3,1,3,0,CCOC(C)(C)CC,O,919-94-8,InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162693,,,3323.0,167.0,,,,,0.0,"butane, 2-ethoxy-2-methyl-___",,101.0,318.15,"butane, 2-ethoxy-2-methyl-__water",j.fluid.2006.02.022,Liquid,2,"butane, 2-ethoxy-2-methyl-",water,C7H16O,H2O,24,8,24,0,3,1,3,0,CCOC(C)(C)CC,O,919-94-8,InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162694,,,390.0,18.0,,,,,0.0,tert-amyl methyl ether___,,101.0,288.15,tert-amyl methyl ether__water,j.fluid.2006.02.022,Liquid,2,tert-amyl methyl ether,water,C6H14O,H2O,21,7,21,0,3,1,3,0,CCC(C)(C)OC,O,994-05-8,InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162695,,,529.0,20.0,,,,,0.0,tert-amyl methyl ether___,,101.0,298.15,tert-amyl methyl ether__water,j.fluid.2006.02.022,Liquid,2,tert-amyl methyl ether,water,C6H14O,H2O,21,7,21,0,3,1,3,0,CCC(C)(C)OC,O,994-05-8,InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162696,,,725.0,24.0,,,,,0.0,tert-amyl methyl ether___,,101.0,308.15,tert-amyl methyl ether__water,j.fluid.2006.02.022,Liquid,2,tert-amyl methyl ether,water,C6H14O,H2O,21,7,21,0,3,1,3,0,CCC(C)(C)OC,O,994-05-8,InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162697,,,1074.0,39.0,,,,,0.0,tert-amyl methyl ether___,,101.0,318.15,tert-amyl methyl ether__water,j.fluid.2006.02.022,Liquid,2,tert-amyl methyl ether,water,C6H14O,H2O,21,7,21,0,3,1,3,0,CCC(C)(C)OC,O,994-05-8,InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162713,,,1263.0,46.0,,,,,0.0,thiophene___,,101.0,288.15,thiophene__water,j.fluid.2006.02.022,Liquid,2,thiophene,water,C4H4S,H2O,9,5,9,0,3,1,3,0,s1cccc1,O,25233-34-5,InChIKey=YTPLMLYBLZKORZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162714,,,1272.0,43.0,,,,,0.0,thiophene___,,101.0,298.15,thiophene__water,j.fluid.2006.02.022,Liquid,2,thiophene,water,C4H4S,H2O,9,5,9,0,3,1,3,0,s1cccc1,O,25233-34-5,InChIKey=YTPLMLYBLZKORZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162715,,,1314.0,46.0,,,,,0.0,thiophene___,,101.0,308.15,thiophene__water,j.fluid.2006.02.022,Liquid,2,thiophene,water,C4H4S,H2O,9,5,9,0,3,1,3,0,s1cccc1,O,25233-34-5,InChIKey=YTPLMLYBLZKORZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162716,,,1291.0,51.0,,,,,0.0,thiophene___,,101.0,318.15,thiophene__water,j.fluid.2006.02.022,Liquid,2,thiophene,water,C4H4S,H2O,9,5,9,0,3,1,3,0,s1cccc1,O,25233-34-5,InChIKey=YTPLMLYBLZKORZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162717,,,1095.0,49.0,,,,,0.0,thiophene___,,101.0,333.15,thiophene__water,j.fluid.2006.02.022,Liquid,2,thiophene,water,C4H4S,H2O,9,5,9,0,3,1,3,0,s1cccc1,O,25233-34-5,InChIKey=YTPLMLYBLZKORZ-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162718,,,6027.0,221.0,,,,,0.0,1-butanethiol___,,101.0,288.15,1-butanethiol__water,j.fluid.2006.02.022,Liquid,2,1-butanethiol,water,C4H10S,H2O,15,5,15,0,3,1,3,0,CCCCS,O,109-79-5,InChIKey=WQAQPCDUOCURKW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162719,,,6042.0,244.0,,,,,0.0,1-butanethiol___,,101.0,298.15,1-butanethiol__water,j.fluid.2006.02.022,Liquid,2,1-butanethiol,water,C4H10S,H2O,15,5,15,0,3,1,3,0,CCCCS,O,109-79-5,InChIKey=WQAQPCDUOCURKW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162720,,,5834.0,266.0,,,,,0.0,1-butanethiol___,,101.0,308.15,1-butanethiol__water,j.fluid.2006.02.022,Liquid,2,1-butanethiol,water,C4H10S,H2O,15,5,15,0,3,1,3,0,CCCCS,O,109-79-5,InChIKey=WQAQPCDUOCURKW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162721,,,5338.0,293.0,,,,,0.0,1-butanethiol___,,101.0,318.15,1-butanethiol__water,j.fluid.2006.02.022,Liquid,2,1-butanethiol,water,C4H10S,H2O,15,5,15,0,3,1,3,0,CCCCS,O,109-79-5,InChIKey=WQAQPCDUOCURKW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162722,,,4140.0,302.0,,,,,0.0,1-butanethiol___,,101.0,333.15,1-butanethiol__water,j.fluid.2006.02.022,Liquid,2,1-butanethiol,water,C4H10S,H2O,15,5,15,0,3,1,3,0,CCCCS,O,109-79-5,InChIKey=WQAQPCDUOCURKW-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162723,,,1423.0,51.0,,,,,0.0,1-propanethiol___,,101.0,288.15,1-propanethiol__water,j.fluid.2006.02.022,Liquid,2,1-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CCCS,O,51285-52-0,InChIKey=SUVIGLJNEAMWEG-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162724,,,1495.0,56.0,,,,,0.0,1-propanethiol___,,101.0,298.15,1-propanethiol__water,j.fluid.2006.02.022,Liquid,2,1-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CCCS,O,51285-52-0,InChIKey=SUVIGLJNEAMWEG-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162725,,,1455.0,60.0,,,,,0.0,1-propanethiol___,,101.0,308.15,1-propanethiol__water,j.fluid.2006.02.022,Liquid,2,1-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CCCS,O,51285-52-0,InChIKey=SUVIGLJNEAMWEG-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162726,,,1448.0,69.0,,,,,0.0,1-propanethiol___,,101.0,318.15,1-propanethiol__water,j.fluid.2006.02.022,Liquid,2,1-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CCCS,O,51285-52-0,InChIKey=SUVIGLJNEAMWEG-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162727,,,1309.0,79.0,,,,,0.0,1-propanethiol___,,101.0,333.15,1-propanethiol__water,j.fluid.2006.02.022,Liquid,2,1-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CCCS,O,51285-52-0,InChIKey=SUVIGLJNEAMWEG-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162728,,,1116.0,41.0,,,,,0.0,2-propanethiol___,,101.0,288.15,2-propanethiol__water,j.fluid.2006.02.022,Liquid,2,2-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CC(C)S,O,75-33-2,InChIKey=KJRCEJOSASVSRA-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162729,,,1135.0,46.0,,,,,0.0,2-propanethiol___,,101.0,298.15,2-propanethiol__water,j.fluid.2006.02.022,Liquid,2,2-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CC(C)S,O,75-33-2,InChIKey=KJRCEJOSASVSRA-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162730,,,1188.0,56.0,,,,,0.0,2-propanethiol___,,101.0,308.15,2-propanethiol__water,j.fluid.2006.02.022,Liquid,2,2-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CC(C)S,O,75-33-2,InChIKey=KJRCEJOSASVSRA-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162731,,,1127.0,63.0,,,,,0.0,2-propanethiol___,,101.0,318.15,2-propanethiol__water,j.fluid.2006.02.022,Liquid,2,2-propanethiol,water,C3H8S,H2O,12,4,12,0,3,1,3,0,CC(C)S,O,75-33-2,InChIKey=KJRCEJOSASVSRA-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
198809,,,3.14,0.0785,,,,,0.0,,methanol___,101.0,303.17,methanol__2-octanone,j.fluid.2008.02.021,Liquid,2,methanol,2-octanone,CH4O,C8H16O,6,2,6,0,25,9,25,0,CO,CCCCCCC(C)=O,54841-71-3,InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198810,,,2.95,0.07375,,,,,0.0,,methanol___,101.0,313.15,methanol__2-octanone,j.fluid.2008.02.021,Liquid,2,methanol,2-octanone,CH4O,C8H16O,6,2,6,0,25,9,25,0,CO,CCCCCCC(C)=O,54841-71-3,InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198811,,,2.78,0.0695,,,,,0.0,,methanol___,101.0,323.16,methanol__2-octanone,j.fluid.2008.02.021,Liquid,2,methanol,2-octanone,CH4O,C8H16O,6,2,6,0,25,9,25,0,CO,CCCCCCC(C)=O,54841-71-3,InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198812,,,2.62,0.0655,,,,,0.0,,methanol___,101.0,333.18,methanol__2-octanone,j.fluid.2008.02.021,Liquid,2,methanol,2-octanone,CH4O,C8H16O,6,2,6,0,25,9,25,0,CO,CCCCCCC(C)=O,54841-71-3,InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198813,,,3.27,0.08175,,,,,0.0,,ethanol___,101.0,303.15,ethanol__2-octanone,j.fluid.2008.02.021,Liquid,2,ethanol,2-octanone,C2H6O,C8H16O,9,3,9,0,25,9,25,0,CCO,CCCCCCC(C)=O,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198814,,,3.07,0.07675,,,,,0.0,,ethanol___,101.0,313.16,ethanol__2-octanone,j.fluid.2008.02.021,Liquid,2,ethanol,2-octanone,C2H6O,C8H16O,9,3,9,0,25,9,25,0,CCO,CCCCCCC(C)=O,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198815,,,2.87,0.07175,,,,,0.0,,ethanol___,101.0,323.14,ethanol__2-octanone,j.fluid.2008.02.021,Liquid,2,ethanol,2-octanone,C2H6O,C8H16O,9,3,9,0,25,9,25,0,CCO,CCCCCCC(C)=O,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198816,,,2.73,0.06825,,,,,0.0,,ethanol___,101.0,333.15,ethanol__2-octanone,j.fluid.2008.02.021,Liquid,2,ethanol,2-octanone,C2H6O,C8H16O,9,3,9,0,25,9,25,0,CCO,CCCCCCC(C)=O,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198817,,,3.31,0.08275,,,,,0.0,,1-propanol___,101.0,303.15,1-propanol__2-octanone,j.fluid.2008.02.021,Liquid,2,1-propanol,2-octanone,C3H8O,C8H16O,12,4,12,0,25,9,25,0,CCCO,CCCCCCC(C)=O,71-23-8,InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198818,,,3.08,0.077,,,,,0.0,,1-propanol___,101.0,313.16,1-propanol__2-octanone,j.fluid.2008.02.021,Liquid,2,1-propanol,2-octanone,C3H8O,C8H16O,12,4,12,0,25,9,25,0,CCCO,CCCCCCC(C)=O,71-23-8,InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198819,,,2.94,0.0735,,,,,0.0,,1-propanol___,101.0,323.15,1-propanol__2-octanone,j.fluid.2008.02.021,Liquid,2,1-propanol,2-octanone,C3H8O,C8H16O,12,4,12,0,25,9,25,0,CCCO,CCCCCCC(C)=O,71-23-8,InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198820,,,2.8,0.07,,,,,0.0,,1-propanol___,101.0,333.16,1-propanol__2-octanone,j.fluid.2008.02.021,Liquid,2,1-propanol,2-octanone,C3H8O,C8H16O,12,4,12,0,25,9,25,0,CCCO,CCCCCCC(C)=O,71-23-8,InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198821,,,3.3,0.0825,,,,,0.0,,1-butanol___,101.0,303.14,1-butanol__2-octanone,j.fluid.2008.02.021,Liquid,2,1-butanol,2-octanone,C4H10O,C8H16O,15,5,15,0,25,9,25,0,CCCCO,CCCCCCC(C)=O,107569-51-7,InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198822,,,3.19,0.07975,,,,,0.0,,1-butanol___,101.0,313.15,1-butanol__2-octanone,j.fluid.2008.02.021,Liquid,2,1-butanol,2-octanone,C4H10O,C8H16O,15,5,15,0,25,9,25,0,CCCCO,CCCCCCC(C)=O,107569-51-7,InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198823,,,3.1,0.0775,,,,,0.0,,1-butanol___,101.0,323.17,1-butanol__2-octanone,j.fluid.2008.02.021,Liquid,2,1-butanol,2-octanone,C4H10O,C8H16O,15,5,15,0,25,9,25,0,CCCCO,CCCCCCC(C)=O,107569-51-7,InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
198824,,,3.0,0.075,,,,,0.0,,1-butanol___,101.0,333.15,1-butanol__2-octanone,j.fluid.2008.02.021,Liquid,2,1-butanol,2-octanone,C4H10O,C8H16O,15,5,15,0,25,9,25,0,CCCCO,CCCCCCC(C)=O,107569-51-7,InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N,111-13-7,InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
211980,,,1.035,,,,,,,,,101.3,336.67,hexane__1-hexene,j.fluid.2008.12.007,Liquid,2,hexane,1-hexene,C6H14,C6H12,20,6,20,0,18,6,18,0,CCCCCC,CCCCC=C,92112-69-1,InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N,153522-12-4,InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N
211981,,,1.051,,,,,,,,,101.3,336.79,hexane__1-hexene,j.fluid.2008.12.007,Liquid,2,hexane,1-hexene,C6H14,C6H12,20,6,20,0,18,6,18,0,CCCCCC,CCCCC=C,92112-69-1,InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N,153522-12-4,InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N
211982,,,1.037,,,,,,,,,101.3,337.03,hexane__1-hexene,j.fluid.2008.12.007,Liquid,2,hexane,1-hexene,C6H14,C6H12,20,6,20,0,18,6,18,0,CCCCCC,CCCCC=C,92112-69-1,InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N,153522-12-4,InChIKey=LIKMAJRDDDTEIG-UHFFFAOYSA-N
